,source,model,image,description,url,price,sku,brand,width,width_i,height,height_i,length,length_i,sit_height,sit_height_i,depth,depth_i,sleep
61,mobelringen,Marie 3-seter m/divan,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/8/288162001_3159753.png,Oppsett D høyre med duo puter. Luiza dusted green. Sorte aluminiumsben.,https://www.mobelringen.no/marie-3-seter-m-divan,22599 NOK,288162001,HJELLEGJERDE AS,268,268.0,80,80.0,154,154.0,45,45.0,88,88.0,False
62,mobelringen,Multibygg modulsofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/7/274275001_2255598.jpg,"Oppsett 22 Arm 3. Tekstil Surprise 925 antracite. Ben 10,5 cm eik hvitoljet.",https://www.mobelringen.no/multibygg-modulsofa-274275001,16079 NOK,274275001,HJORT KNUDSEN AS,292,292.0,80,80.0,155,155.0,,,90,90.0,False
63,mobelringen,Nordicline modulsofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/5/252105017_8606019.png,"Oppsett H15 med Big 90° hjørne. DUO-puter. Tekstil Concept light purple. Ben skrå eik grå, 20 cm.",https://www.mobelringen.no/nordicline-modulsofa-252105017,33299 NOK,252105017,HJELLEGJERDE AS,270,270.0,83,83.0,186,186.0,46,46.0,88,88.0,False
64,mobelringen,Stressless® Aurora 3-seter,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/3/1/318498002_8638496.png,"Med Stressless® Power, motorisert komfortfunksjon, venstre. Høy rygg. Hud Paloma black. Ben stål, 11 cm. Ø4,2 cm.",https://www.mobelringen.no/stresslessr-aurora-3-seter-318498002,39544 NOK,318498002,STRESSLESS,,,,,,,,,,,False
65,mobelringen,Stressless® Emily 2-seter med longseat,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/3/0/307439004_8653405.png,"Hud Paloma new cognac, ben 40 aluminium. Med Stressless Power, motorisert komfortfunksjon (venstre, side).",https://www.mobelringen.no/stresslessr-emily-2-seter-med-longseat-307439004,66170 NOK,307439004,STRESSLESS,250,250.0,88,88.0,,,45,45.0,110,110.0,False
66,mobelringen,Gordon hjørnesofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/3/2/322320001_8627640.png,"Oppsett 3-seter, hjørne, endeavslutning høyre. Eco skinn cognac (blanding av ekte skinn og polysester), ben wenge.",https://www.mobelringen.no/gordon-hjornesofa,23999 NOK,322320001,DOMINARI - NORTH LIVING,199,199.0,80,80.0,289,289.0,46,46.0,91,91.0,False
67,mobelringen,HØDNEBØ® Hvaler modulsofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/3/0/306532001_8622928.png,"Oppsett A: Arm 11, 3,5-seter, hjørne, 2,5-seter, arm 11. Tekstil Bardal 380. Bøyle sort stål.",https://www.mobelringen.no/hodnebor-hvaler-modulsofa,61099 NOK,306532001,HØDNEBØ,305,305.0,83,83.0,240,240.0,46,46.0,86,86.0,False
68,mobelringen,Nordicline modulsofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/5/252105011_8605863.png,"Oppsett H15 med Big 90°-hjørne. DUO-puter. Tekstil Consept Dust blue. Skrå grå eik, 20 cm.",https://www.mobelringen.no/nordicline-modulsofa-252105011,33899 NOK,252105011,HJELLEGJERDE AS,270,270.0,83,83.0,186,186.0,46,46.0,88,88.0,False
69,mobelringen,Anne modulsofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/7/275130016_8606880.png,"Oppsett: Arm 3, 2,5-seter, 90-hjørne, endemodul høyre, arm 3. Tekstil Lisa coal, vinkelbein sort. Soft rekt. ryggpute /soft setepute.",https://www.mobelringen.no/anne-modulsofa,30499 NOK,275130016,HJELLEGJERDE AS,270,270.0,86,86.0,202,202.0,47,47.0,85,85.0,False
70,mobelringen,Verona sovesofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/9/295040016_8690304.png,"2,5 seter. Tekstil Amadeus light grey. Sorte ben. Liggemål 140 x 198 cm.",https://www.mobelringen.no/verona-sovesofa-295040016,14999 NOK,295040016,HOVDEN MØBEL AS,180,180.0,86,86.0,,,,,95,95.0,True
71,mobelringen,BEDinside sovesofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/1/1/110139030_118257.png,"2,5-seter. Continental (First) vange. Stoff Platina beige. Bonellfjær. STD ben. Utslått lengde: 212 cm. Liggemål: 140x200 cm.",https://www.mobelringen.no/bedinside-sovesofa,21999 NOK,110139030,HOVDEN MØBEL AS,164,164.0,85,85.0,,,46,46.0,96,96.0,True
72,mobelringen,Sandefjord 3-seter,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/1/9/196843011_3883651.png,Duo puter. Arm J. Tekstil Mine rust. Ben Q matt sort.,https://www.mobelringen.no/sandefjord-3-seter-196843011,21099 NOK,196843011,STORDAL AS,184,184.0,84,84.0,,,46,46.0,85,85.0,False
73,mobelringen,Neptun 3-seter,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/1/8/188882001_122909.png,"Hud/pvc, sorte ben.",https://www.mobelringen.no/neptun-3-seter,7999 NOK,188882001,SCAPA BALTIC UAB,202,202.0,93,93.0,,,,,98,98.0,False
74,mobelringen,Nora modulsofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/9/293655004_3439000.png,Oppsett 1V A3. Tekstil Ocean mole. Ben 16 cm oak smoked black.,https://www.mobelringen.no/nora-modulsofa-293655004,19199 NOK,293655004,HJORT KNUDSEN AS,324,324.0,82,82.0,255,255.0,47,47.0,90/210,,False
75,mobelringen,Happy Lux 4-seter,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/8/286677013_8678586.png,Tekstil Siena natur. Ben sort eik. Faste ryggputer.,https://www.mobelringen.no/happy-lux-4-seter-286677013,18719 NOK,286677013,TROELS MØBLER AS,264,264.0,90,90.0,,,43,43.0,102,102.0,False
76,mobelringen,Annabel 3-seter,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/3/0/302663008_3971741.png,Tekstil Adore dark green. Antikk nagler. Ben sort eik med gullhjul.,https://www.mobelringen.no/annabel-3-seter-302663008,18699 NOK,302663008,TROELS MØBLER AS,235,235.0,82,82.0,,,44,44.0,103,103.0,False
77,mobelringen,System + 2-seter (modulsofa),https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/1/0/100961030_1182590.png,"Modell Ami. Stoff Cabana sand, 5 cm eik oljet ben.",https://www.mobelringen.no/system-2-seter-modulsofa,16999 NOK,100961030,BRUNSTAD AS,144,144.0,86,86.0,,,45,45.0,79,79.0,False
78,mobelringen,System + 3-seter (modulsofa),https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/3/232795006_1182587.png,"Modell Oda. Stoff Cabana sand. 13 cm eik hvitoljet ben, rund.",https://www.mobelringen.no/system-3-seter-modulsofa-232795006,21499 NOK,232795006,BRUNSTAD AS,195,195.0,86,86.0,,,45,45.0,79,79.0,False
79,mobelringen,Kvitfjell modulsofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/3/0/307388001_8531019.png,"Oppsett: 3-seter, vinkel, 2,5-seter. Tekstil Castro muldvarp. Ben 20 matt sort. Soft ryggpute.",https://www.mobelringen.no/kvitfjell-modulsofa,34999 NOK,307388001,STORDAL AS,266,266.0,82,82.0,238,238.0,45,45.0,90,90.0,False
80,mobelringen,Balder 3-seter,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/9/295850_3854402.jpg,"FAST LAVPRIS. Tekstil Inari lys grå. Runde ben, mørke brun. Pris eks. pall/tilbehør.",https://www.mobelringen.no/balder-3-seter,4999 NOK,295850,DOMINARI,212,212.0,82,82.0,,,45,45.0,86,86.0,False
81,mobelringen,Easy modulsofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/3/1/319347003_8605565.png,"Oppsett hjørne: LH23/32, standardputer (TD) arm E. Tekstil Nordby grey. Ben hvitoljet, 5 cm. Pris eks. nakkestøtte/midtarmlene.",https://www.mobelringen.no/easy-modulsofa-319347003,11999 NOK,319347003,SCAPA BALTIC UAB,302,302.0,90,90.0,237,237.0,,,95,95.0,False
82,mobelringen,Balder 2-seter,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/9/292201_3486356.png,"FAST LAVPRIS. Tekstil Inari grafitt. Runde ben, mørke brun.",https://www.mobelringen.no/balder-2-seter,3999 NOK,292201,DOMINARI,162,162.0,82,82.0,,,45,45.0,86,86.0,False
83,mobelringen,Balder 3-seter med divan,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/9/295846_3722015.jpg,"FAST LAVPRIS. Tekstil Inari lys grå. Runde ben, mørke brun.",https://www.mobelringen.no/balder-3-seter-med-divan,7999 NOK,295846,DOMINARI,242,242.0,82,82.0,144,144.0,45,45.0,86,86.0,False
84,mobelringen,Stressless® Aurora 3-seter,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/9/290301005_3916437.png,"Lav rygg. Hud Paloma Shadow Blue. Ben sort bøk, 11 cm.",https://www.mobelringen.no/stresslessr-aurora-3-seter,26999 NOK,290301005,STRESSLESS,228,228.0,89,89.0,,,47,47.0,81,81.0,False
85,mobelringen,Mantovani modulsofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/3/1/318859001_8606035.png,"Oppsett AM arm 1. Tekstil Panama light grey. Foam/foam. Ben sort eik, 12 cm.",https://www.mobelringen.no/mantovani-modulsofa-318859001,39399 NOK,318859001,HJELLEGJERDE AS,286,286.0,81,81.0,202,202.0,47,47.0,86,86.0,False
86,mobelringen,Mantovani modulsofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/3/1/318860001_8603688.png,"Oppsett FV arm 11. Tekstil Lisa Forest. Soft/soft. Ben hvitvasket eik, firkantet.",https://www.mobelringen.no/mantovani-modulsofa-318860001,36899 NOK,318860001,HJELLEGJERDE AS,271,271.0,81,81.0,224,224.0,45,45.0,86,86.0,False
87,mobelringen,Passion modulsofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/3/236544008_3713410.png,"Oppsett 15, arm 2. Tekstil Riviera Yellow. Ben eik sort. 35 kg kaldskum. Nakkestøtte er tillegg i pris.",https://www.mobelringen.no/passion-modulsofa-236544008,35099 NOK,236544008,TROELS MØBLER AS,273,273.0,85,85.0,245,245.0,47,47.0,88,88.0,False
88,mobelringen,System + modulsofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/2/229611008_3995703.png,"Oppsett Oda F 53 vinkel venstre. Tekstil Mode silver. Ben gråoljet eik, 13 cm, firkantet.",https://www.mobelringen.no/system-modulsofa-229611008,44399 NOK,229611008,BRUNSTAD AS,245,245.0,86,86.0,245,245.0,45,45.0,79,79.0,False
89,mobelringen,Neptun 2-seter,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/1/8/188883001_122910.png,"Hud/pvc, sorte ben.",https://www.mobelringen.no/neptun-2-seter,6599 NOK,188883001,SCAPA BALTIC UAB,151,151.0,93,93.0,,,,,98,98.0,False
90,mobelringen,Easy modulsofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/1/8/185695038_2627699.png,"Oppsett hjørne m/divan (H23/32-divan). Arm E, standard ryggputer (TD). Tekstil Bari nougat. Sorte ben. Pris eks. nakkepute.",https://www.mobelringen.no/easy-modulsofa-185695038,18399 NOK,185695038,SCAPA BALTIC UAB,322,322.0,90,90.0,257,257.0,,,95/147,,False
91,mobelringen,"Anne 2,5-seter",https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/7/275131006_8606023.png,"Oppsett 2,5-seter med armtype 2. Tekstil Savannah anthracite. Ben firkantet eik hvitvasket. Rektangulære ryggputer, fast og fast seteputer.",https://www.mobelringen.no/anne-2-5-seter-275131006,8939 NOK,275131006,HJELLEGJERDE AS,191,191.0,86,86.0,,,47,47.0,85,85.0,False
92,mobelringen,Sky sovesofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/3/0/307024001_8550544.jpg,Tekstil Prince salt/pepper. Liggemål 150x200 cm.,https://www.mobelringen.no/sky-sovesofa,10999 NOK,307024001,DOMINARI - NORTH LIVING,233,233.0,94,94.0,,,45,45.0,100,100.0,True
93,mobelringen,Passion modulsofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/4/246110014_2502612.png,"Oppsett 26, armlene 2. Tekstil: Casual light blue, ben hvitoljet. Nakkestøtte er tillegg i pris.",https://www.mobelringen.no/passion-modulsofa-246110014,17999 NOK,246110014,TROELS MØBLER AS,273,273.0,85,85.0,197,197.0,47,47.0,88,88.0,False
94,mobelringen,Passion modulsofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/3/236544013_3714998.png,"Oppsett 15, arm 2. Tekstil Riviera blue. Ben eik sort. 35 kg kaldskum. Nakkestøtte er tillegg i pris.",https://www.mobelringen.no/passion-modulsofa-236544013,35099 NOK,236544013,TROELS MØBLER AS,273,273.0,85,85.0,245,245.0,47,47.0,88,88.0,False
95,mobelringen,"Stream 2,5-seter",https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/1/5/151767022_3087544.png,Tekstil Mosso silver. Ben matt krom.,https://www.mobelringen.no/stream-2-5-seter,30199 NOK,151767022,BRUNSTAD AS,195,195.0,80,80.0,,,42,42.0,90,90.0,False
96,mobelringen,Marie 5-seter,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/3/1/315821001_8606016.png,"Tekstil Lisa coal, ben 20 cm børstet stål.",https://www.mobelringen.no/maria-5-seter,14999 NOK,315821001,HJELLEGJERDE AS,281,281.0,80,80.0,,,45,45.0,88,88.0,False
97,mobelringen,Sandefjord 3-seter,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/1/9/196843023_8624929.png,"Duo-puter, arm B, pp 44 ss. Tekstil Page grønn. Ben V, sort.",https://www.mobelringen.no/sandefjord-3-seter-196843023,16999 NOK,196843023,STORDAL AS,184,184.0,84,84.0,,,46,46.0,85,85.0,False
98,mobelringen,System + modulsofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/1/1/112633015_3523763.png,"Oppsett Malin F 53 vinkel høyre. Tekstil Mode violet. Ben hvitoljet eik, 13 cm, rund.",https://www.mobelringen.no/system-modulsofa-112633015,38799 NOK,112633015,BRUNSTAD AS,232,232.0,86,86.0,215,215.0,45,45.0,79,79.0,False
99,mobelringen,Stream 3-seter,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/1/5/151763118_3995701.png,"Tekstil Flair Ocher, sortlakkerte stålben.",https://www.mobelringen.no/stream-3-seter-151763118,24999 NOK,151763118,BRUNSTAD AS,225,225.0,80,80.0,,,42,42.0,90,90.0,False
100,mobelringen,Passion modulsofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/3/236544010_3714992.png,"Oppsett 15, arm 2. Tekstil Riviera Petrol. Ben eik sort. 35 kg kaldskum. Nakkestøtte er tillegg i pris.",https://www.mobelringen.no/passion-modulsofa-236544010,35099 NOK,236544010,TROELS MØBLER AS,273,273.0,85,85.0,245,245.0,47,47.0,88,88.0,False
101,mobelringen,Kos 3-seter,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/3/0/305105001_8554040.png,XL. Tekstil beige. Ben krom.,https://www.mobelringen.no/kos-3-seter,13999 NOK,305105001,SCAPA BALTIC UAB,248,248.0,84,84.0,,,45,45.0,100,100.0,False
102,mobelringen,Balder hjørnesofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/9/292189_3630930.png,"FAST LAVPRIS. Oppsett 3-seter, hjørne og endeavslutning høyre. Tekstil Inari grafitt. Runde ben, mørke brun.",https://www.mobelringen.no/balder-hjornesofa,9999 NOK,292189,DOMINARI,280,280.0,82,82.0,202,202.0,45,45.0,86,86.0,False
103,mobelringen,"Marie 3,5-seter",https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/8/289021005_8607367.png,"Oppsett 3,5-seter m/vanger, DUO-puter. Tekstil Rome Forest. Ben sort stål, 20 cm.",https://www.mobelringen.no/marie-3-5-seter,12179 NOK,289021005,HJELLEGJERDE AS,222,222.0,80,80.0,,,45,45.0,88,88.0,False
104,mobelringen,"Anne 2,5-seter",https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/7/275131007_8607368.png,"Oppsett 2,5-seter med armtype 1. Tekstil Ruby blue. Ben firkantet eik natur. Rektangulære ryggputer, soft og soft seteputer.",https://www.mobelringen.no/anne-2-5-seter,8939 NOK,275131007,HJELLEGJERDE AS,211,211.0,86,86.0,,,47,47.0,85,85.0,False
105,mobelringen,Stream 3-seter,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/1/5/151763075_501830.png,Stoff Fenice Jade. Ben matt chrome.,https://www.mobelringen.no/stream-3-seter,33299 NOK,151763075,BRUNSTAD AS,225,225.0,80,80.0,,,42,42.0,90,90.0,False
106,mobelringen,HØDNEBØ® Lillesand modulsofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/3/0/307186001_8567612.png,"Oppsett B; arm-1,5s-1,5s-arm. Tekstil Laguna velvet mole. Ben black rund, 6,5 cm.",https://www.mobelringen.no/hodnebor-lillesand-modulsofa-307186001,29399 NOK,307186001,HØDNEBØ,222,222.0,80,80.0,,,45,45.0,67,67.0,False
107,mobelringen,Nordicline 1-seter stol,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/5/253215007_8605861.png,"Tekstil Dana light grey. Ben skrå, sort eik, 20 cm. Arm 15.",https://www.mobelringen.no/nordicline-1-seter-stol-253215007,10999 NOK,253215007,HJELLEGJERDE AS,86,86.0,83,83.0,,,46,46.0,88,88.0,False
108,mobelringen,Happy hjørnesofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/7/270169008_3805199.png,"Oppsett: 2-seter, hjørne, 2-seter. Tekstil Shadow light grey. Ben hvitoljet eik. Løse konvoluttputer (A1).",https://www.mobelringen.no/happy-hjornesofa-270169008,35599 NOK,270169008,TROELS MØBLER AS,269,269.0,89,89.0,269,269.0,47,47.0,102,102.0,False
109,mobelringen,"HØDNEBØ® Hvaler 1,5-seter",https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/9/292260001_3365288.png,"Hud Astro Line Black, stålbøyle sort.",https://www.mobelringen.no/hodnebor-hvaler-1-5-seter,22899 NOK,292260001,HØDNEBØ,111,111.0,83,83.0,,,46,46.0,86,86.0,False
110,mobelringen,"Nordicline 3,5-seter",https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/5/252017006_8541232.png,"Tekstil Dana light grey. Ben skrå sort eik, 20 cm. DUO-puter.",https://www.mobelringen.no/nordicline-3-5-seter,20099 NOK,252017006,HJELLEGJERDE AS,216,216.0,83,83.0,,,46,46.0,88,88.0,False
111,mobelringen,HØDNEBØ® Tromøya 1-seter,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/9/292258001_3365322.png,"Tekstil Laguna Velvet Coal, ben list krom 12 cm.",https://www.mobelringen.no/hodnebor-tromoya-1-seter,12799 NOK,292258001,HØDNEBØ,83,83.0,77,77.0,,,46,46.0,87,87.0,False
112,mobelringen,Verona sovesofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/9/295040014_8681720.png,"2,5 seter. Tekstil Amadeus petrol. Sorte ben. Liggemål 140 x 198 cm.",https://www.mobelringen.no/verona-sovesofa-295040014,14999 NOK,295040014,HOVDEN MØBEL AS,180,180.0,86,86.0,,,,,95,95.0,True
113,mobelringen,Isak hjørnesofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/3/2/322344001_8678037.png,"Oppsett: 3-seter duo, hjørne, endeavslutning høyre. Arm 2. Tekstil Square blå, wengefarget ben.",https://www.mobelringen.no/isak-hjornesofa-322344001,14719 NOK,322344001,DOMINARI - NORTH LIVING,279,279.0,80,80.0,206,206.0,,,89,89.0,False
114,mobelringen,Passion modulsofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/5/255790015_3697105.png,"Oppsett 21, arm 4. Tekstil Unite blue. Alu ben 10, justerbar.",https://www.mobelringen.no/passion-modulsofa-255790015,24659 NOK,255790015,TROELS MØBLER AS,308,308.0,85,85.0,271,271.0,47,47.0,88-148,,False
115,mobelringen,Mantovani 1-seter,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/5/251981009_3967318.png,"Arm 10, tekstil Panama Gold. Soft rygg- og setepute. Ben eik sort, 12 cm.",https://www.mobelringen.no/mantovani-1-seter,10799 NOK,251981009,HJELLEGJERDE AS,96,96.0,81,81.0,,,45,45.0,86,86.0,False
116,mobelringen,Balder hjørnesofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/9/295848_3854436.jpg,"FAST LAVPRIS. Oppsett 3-seter, hjørne og endeavslutning høyre. Tekstil Inari lys grå. Runde ben, mørke brun.",https://www.mobelringen.no/balder-hjornesofa-295848,9999 NOK,295848,DOMINARI,280,280.0,82,82.0,202,202.0,45,45.0,86,86.0,False
117,mobelringen,Sandefjord modulsofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/1/9/196852004_1161808.png,"Oppsett 2,5-v-2 arm A. Milano ensfarget betong. Eikefarget ben.",https://www.mobelringen.no/sandefjord-modulsofa,38299 NOK,196852004,STORDAL AS,236,236.0,84,84.0,209,209.0,46,46.0,85,85.0,False
118,mobelringen,Isak hjørnesofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/3/2/322348001_8651763.png,"Oppsett divan, 2-seter, hjørne, 2-seter. Arm 1. Tekstil Philip grey. Ben hvitoljet eik.",https://www.mobelringen.no/isak-hjornesofa,15999 NOK,322348001,DOMINARI - NORTH LIVING,294,294.0,80,80.0,229,229.0,,,89,89.0,False
119,mobelringen,Sofia sovesofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/1/8/185806009_943504.png,"2,5-seter. Stoff Emma light grey. Madrassmål 133x198 cm. Utslått lengde 238 cm.",https://www.mobelringen.no/sofia-sovesofa-185806009,11999 NOK,185806009,HOVDEN MØBEL AS,182,182.0,72,72.0,238,238.0,,,95,95.0,True
120,mobelringen,Balder hjørnesofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/2/9/292205_3486358.png,"FAST LAVPRIS. Oppsett 3-s, hjørne og 2-s (vendbar). Tekstil Inari grafitt. Runde ben, mørke brun. Pris eks. nakkestøtte/tilbehør.",https://www.mobelringen.no/balder-hjornesofa-292205,10999 NOK,292205,DOMINARI,281,281.0,82,82.0,231,231.0,45,45.0,86,86.0,False
121,mobelringen,Isak hjørnesofa,https://www.mobelringen.no/media/catalog/product/cache/bc1e159b67398ba35d189fa382110a17/3/2/322343001_8679934.png,"Oppsett: 3-seter duo - hjørne - endeavslutning venstre. Arm 2. Tekstil Square blå, wengefarget ben.",https://www.mobelringen.no/isak-hjornesofa-322343001,14719 NOK,322343001,DOMINARI - NORTH LIVING,279,279.0,80,80.0,206,206.0,,,89,89.0,False
