,source,model,image,description,url,price,height,width,depth,sit_depth,sit_width,sit_height,legs,SKU,sleep,clearance,max_depth,width_i
112,sofacompany,Alfred ,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/3/23321304171010_alfred_module_2_seater_right_1760x880grey_v1.jpg,,https://no.sofacompany.com/alfred-modular-sofa-olena-aqua-oak-a-17-cm-23321304171010,4999 NOK,76cm,147cm,84cm,63cm,126cm,44cm,"Oak, A, 17 cm",23321304171010,n,17,,147
113,sofacompany,Alfred ,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/3/23321305171010_alfred_module_footrest_1760x880grey_v1.jpg,,https://no.sofacompany.com/alfred-modular-sofa-olena-aqua-oak-a-17-cm-23321305171010,2299 NOK,44cm,77cm,77cm,77cm,77cm,44cm,"Oak, A, 17 cm",23321305171010,n,17,,77
114,sofacompany,Alfred ,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/3/23321310171010_alfred_module_corner_left_1760x880grey_v1.jpg,,https://no.sofacompany.com/alfred-modular-sofa-olena-aqua-oak-a-17-cm-23321310171010,3499 NOK,76cm,83cm,83cm,63cm,63cm,44cm,"Oak, A, 17 cm",23321310171010,n,17,,83
115,sofacompany,Alfred ,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/3/23321311171010_alfred_module_corner_right_1760x880grey_v1.jpg,,https://no.sofacompany.com/alfred-modular-sofa-olena-aqua-oak-a-17-cm-23321311171010,3499 NOK,76cm,83cm,83cm,63cm,63cm,44cm,"Oak, A, 17 cm",23321311171010,n,17,,83
116,sofacompany,Astha,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/1/2/125609221294_astha_chaise_left_1760x880grey_v1.jpg,,https://no.sofacompany.com/astha-chaise-longue-sofa-danny-steel-grey-black-matt-pc-steel-c-17cm-125609221294,13999 NOK,83cm,300cm,89cm,56cm,292cm,46cm,"Black Matt PC Steel, C, 17cm",125609221294,n,17,,300
117,sofacompany,Astha,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/1/2/125610221294_astha_chaiseright_1760x880grey_v1.jpg,,https://no.sofacompany.com/astha-chaise-longue-sofa-danny-steel-grey-black-matt-pc-steel-c-17cm-125610221294,13999 NOK,83cm,300cm,89cm,56cm,292cm,46cm,"Black Matt PC Steel, C, 17cm",125610221294,n,17,,300
118,sofacompany,Astha,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/1/2/125672221294_astha_chaiselong_sofa_right_2seater_1760x880grey_v1.jpg,,https://no.sofacompany.com/astha-chaise-longue-sofa-danny-steel-grey-black-matt-pc-steel-c-17cm-125672221294,11999 NOK,83cm,208cm,89cm,56cm,199cm,46cm,"Black Matt PC Steel, C, 17cm",125672221294,n,17,,208
119,sofacompany,Astha,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/1/2/125673221294_astha_chaiselong_sofa_left_2seater_1760x880grey_v1.jpg,,https://no.sofacompany.com/astha-chaise-longue-sofa-danny-steel-grey-black-matt-pc-steel-c-17cm-125673221294,11999 NOK,83cm,208cm,89cm,56cm,199cm,46cm,"Black Matt PC Steel, C, 17cm",125673221294,n,17,,208
120,sofacompany,Elinor,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/0/206703202306_elinor_3seater_1760x880grey_v1.jpg,,https://no.sofacompany.com/elinor-3-seater-sofa-agnes-brown-walnut-natural-e-13-cm-206703202306,8999 NOK,80cm,211cm,85cm,52cm,180cm,44cm,"Walnut Natural, E, 13 cm",206703202306,n,13,,211
121,sofacompany,Easton,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/0/204509221315_easton_chaiselong_1760x880grey_v1.jpg,,https://no.sofacompany.com/easton-chaise-longue-sofa-danny-steel-grey-walnut-natural-f-15-cm-204509221315,14999 NOK,72cm,319cm,94cm,66cm,299cm,45cm,"Walnut Natural, F, 15 cm",204509221315,n,15,,319
122,sofacompany,Easton,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/0/204510221315_easton_chaiselong_1760x880grey_v1.jpg,,https://no.sofacompany.com/easton-chaise-longue-sofa-danny-steel-grey-walnut-natural-f-15-cm-204510221315,14999 NOK,72cm,319cm,94cm,66cm,299cm,45cm,"Walnut Natural, F, 15 cm",204510221315,n,15,,319
123,sofacompany,Elinor,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/0/206703210306_elinor_3seater_1760x880grey_v1.jpg,,https://no.sofacompany.com/elinor-3-seater-sofa-danny-dusty-rose-walnut-natural-e-13-cm-206703210306,8999 NOK,80cm,211cm,85cm,52cm,180cm,44cm,"Walnut Natural, E, 13 cm",206703210306,n,13,,211
124,sofacompany,Johan,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/0/7/074803234231_johan_3seater_1760x880grey_v1.jpg,,https://no.sofacompany.com/johan-3-seater-sofa-elliot-army-walnut-natural-e-17-cm-074803234231,9999 NOK,82cm,202cm,93cm,59cm,178cm,43cm,"Walnut Natural, E, 17 cm",074803234231,n,17,,202
125,sofacompany,Bungalow,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/8/4/84803218207_bungalow_3seater_1760x880grey_v1.jpg,,https://no.sofacompany.com/bungalow-3-seater-sofa-danny-dusty-blue-black-metal-e-10-cm-184803218207,9999 NOK,76cm,217cm,92cm,56cm,200cm,42cm,"Black Metal, E, 10 cm",184803218207,n,10,,217
126,sofacompany,Henry,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/0/207703166195_henry_3seater_1760x880grey_v1.jpg,,https://no.sofacompany.com/henry-3-seater-sofa-velour-lux-navy-walnut-natural-f-19-cm-207703166195,8999 NOK,86cm,207cm,91cm,57cm,186cm,47cm,"Walnut Natural, F, 19 cm",207703166195,n,19,,207
127,sofacompany,Henry,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/0/207703221195_henry_3seater_1760x880grey_v1.jpg,,https://no.sofacompany.com/henry-3-seater-sofa-danny-steel-grey-walnut-natural-f-19-cm-207703221195,8999 NOK,86cm,207cm,91cm,57cm,186cm,47cm,"Walnut Natural, F, 19 cm",207703221195,n,19,,207
128,sofacompany,Henry,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/0/207703153195_henry_3seater_1760x880grey_v1.jpg,,https://no.sofacompany.com/henry-3-seater-sofa-talent-cool-grey-walnut-natural-f-19-cm-207703153195,8999 NOK,86cm,207cm,91cm,57cm,186cm,47cm,"Walnut Natural, F, 19 cm",207703153195,n,19,,207
129,sofacompany,Harvey,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/1/212503166301_harvey_3seater_1760x880grey_v5.jpg,,https://no.sofacompany.com/harvey-3-seater-sofa-velour-lux-navy-black-metal-e-14-cm-212503166301,11999 NOK,79cm,222cm,96cm,53cm,182cm,45cm,"Black Metal, E, 14 cm",212503166301,n,14,,222
130,sofacompany,Astha,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/1/2/125603221294_astha_3seater_1760x880grey_v1_1.jpg,,https://no.sofacompany.com/astha-3-seater-sofa-danny-steel-grey-black-matt-pc-steel-c-17cm-125603221294,8999 NOK,83cm,218cm,89cm,56cm,198cm,46cm,"Black Matt PC Steel, C, 17cm",125603221294,n,17,,218
131,sofacompany,Astha,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/1/2/125603236294_astha_3seater_1760x880grey_v1.jpg,,https://no.sofacompany.com/astha-3-seater-sofa-cura-dark-green-black-matt-pc-steel-c-17cm-125603236294,8999 NOK,83cm,218cm,89cm,56cm,198cm,46cm,"Black Matt PC Steel, C, 17cm",125603236294,n,17,,218
132,sofacompany,Astha,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/1/2/125603238294_astha_3seater_1760x880grey_v1.jpg,,https://no.sofacompany.com/astha-3-seater-sofa-cura-light-grey-black-matt-pc-steel-c-17cm-125603238294,8999 NOK,83cm,218cm,89cm,56cm,198cm,46cm,"Black Matt PC Steel, C, 17cm",125603238294,n,17,,218
133,sofacompany,Johan,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/0/7/074803228117_johan_3-seater_sofa_1760x880grey_v1.jpg,,https://no.sofacompany.com/johan-3-seater-sofa-elliot-light-grey-oak-e-17-cm-074803228117,9999 NOK,82cm,202cm,93cm,59cm,178cm,43cm,"Oak, E, 17 cm",074803228117,n,17,,202
134,sofacompany,Astha,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/1/2/125603237294_astha_3seater_1760x880grey_v1.jpg,,https://no.sofacompany.com/astha-3-seater-sofa-cura-light-blue-black-matt-pc-steel-c-17cm-125603237294,8999 NOK,83cm,218cm,89cm,56cm,198cm,46cm,"Black Matt PC Steel, C, 17cm",125603237294,n,17,,218
135,sofacompany,Harper,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/1/3/136703237336_harper_3seater_1760x880grey_v1_1.jpg,,https://no.sofacompany.com/harper-3-seater-sofa-cura-light-blue-oak-natural-b-19-cm-136703237336,8999 NOK,86cm,207cm,91cm,56cm,186cm,47cm,"Oak Natural, B, 19 cm",136703237336,n,19,,207
136,sofacompany,Astha,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/1/2/125609243294_astha_chaiselongleft_1760x880grey_v1.jpg,,https://no.sofacompany.com/astha-chaise-longue-sofa-planet-navy-black-matt-pc-steel-c-17cm-125609243294,13999 NOK,83cm,300cm,89cm,56cm,292cm,46cm,"Black Matt PC Steel, C, 17cm",125609243294,n,17,,300
137,sofacompany,Astha,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/1/2/125610243294_astha_chaiselongright_1760x880grey_v1.jpg,,https://no.sofacompany.com/astha-chaise-longue-sofa-planet-navy-black-matt-pc-steel-c-17cm-125610243294,13999 NOK,83cm,300cm,89cm,56cm,292cm,46cm,"Black Matt PC Steel, C, 17cm",125610243294,n,17,,300
138,sofacompany,Conrad,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/0/7/072809227340_conrad_chaiselong_left_1760x880grey_v1.jpg,,https://no.sofacompany.com/conrad-chaise-longue-sofa-elliot-stone-oak-natural-a-17-cm-072809227340,9999 NOK,80cm,217cm,92cm,61cm,196cm,45cm,"Oak Natural, A, 17 cm",072809227340,n,17,,217
139,sofacompany,Conrad,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/0/7/072810227340_conrad_chaiselong_right_1760x880grey_v1.jpg,,https://no.sofacompany.com/conrad-chaise-longue-sofa-elliot-stone-oak-natural-a-17-cm-072810227340,9999 NOK,80cm,217cm,92cm,61cm,196cm,45cm,"Oak Natural, A, 17 cm",072810227340,n,17,,217
140,sofacompany,Harvey,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/1/212503221301_harvey_3_seater_1760x880grey_v1.jpg,,https://no.sofacompany.com/harvey-3-seater-sofa-danny-steel-grey-black-metal-e-14-cm-212503221301,11999 NOK,79cm,222cm,96cm,53cm,182cm,45cm,"Black Metal, E, 14 cm",212503221301,n,14,,222
141,sofacompany,Astha,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/1/2/125603243294_astha_3seater_1760x880grey_v1.jpg,,https://no.sofacompany.com/astha-3-seater-sofa-planet-navy-black-matt-pc-steel-c-17cm-125603243294,8999 NOK,83cm,218cm,89cm,56cm,198cm,46cm,"Black Matt PC Steel, C, 17cm",125603243294,n,17,,218
142,sofacompany,Anna,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/2/222803124294_anna_3seater_1760x880grey_v1.jpg,,https://no.sofacompany.com/anna-3-seater-sofa-sunday-curry-black-matt-pc-steel-c-17cm-222803124294,8999 NOK,83cm,218cm,89cm,56cm,200cm,46cm,"Black Matt PC Steel, C, 17cm",222803124294,n,17,,218
143,sofacompany,Anna,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/2/222803166294_anna_3seater_1760x880grey_v1.jpg,,https://no.sofacompany.com/anna-3-seater-sofa-velour-lux-navy-black-matt-pc-steel-c-17cm-222803166294,8999 NOK,83cm,218cm,89cm,56cm,200cm,46cm,"Black Matt PC Steel, C, 17cm",222803166294,n,17,,218
144,sofacompany,Anna,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/2/222803241294_anna_3seater_1760x880grey_v1.jpg,,https://no.sofacompany.com/anna-3-seater-sofa-yazmin-lavender-black-matt-pc-steel-c-17cm-222803241294,8999 NOK,83cm,218cm,89cm,56cm,200cm,46cm,"Black Matt PC Steel, C, 17cm",222803241294,n,17,,218
145,sofacompany,Anna,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/2/222803242294_anna_3seater_1760x880grey_v1.jpg,,https://no.sofacompany.com/anna-3-seater-sofa-planet-grey-green-black-matt-pc-steel-c-17cm-222803242294,8999 NOK,83cm,218cm,89cm,56cm,200cm,46cm,"Black Matt PC Steel, C, 17cm",222803242294,n,17,,218
146,sofacompany,Easton,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/0/204509099316_easton_1760x880grey_v1.jpg,,https://no.sofacompany.com/easton-chaise-longue-sofa-fabio-grey-green-oak-f-15-cm-204509099316,14999 NOK,72cm,319cm,94cm,66cm,299cm,45cm,"Oak, F, 15 cm",204509099316,n,15,,319
147,sofacompany,Easton,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/0/204509228316_easton_1760x880grey_v1.jpg,,https://no.sofacompany.com/easton-chaise-longue-sofa-elliot-light-grey-oak-f-15-cm-204509228316,14999 NOK,72cm,319cm,94cm,66cm,299cm,45cm,"Oak, F, 15 cm",204509228316,n,15,,319
148,sofacompany,Easton,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/0/204510099316_easton_1760x880grey_v1.jpg,,https://no.sofacompany.com/easton-chaise-longue-sofa-fabio-grey-green-oak-f-15-cm-204510099316,14999 NOK,72cm,319cm,94cm,66cm,299cm,45cm,"Oak, F, 15 cm",204510099316,n,15,,319
149,sofacompany,Easton,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/0/204510228316_easton_1760x880grey_v1_1.jpg,,https://no.sofacompany.com/easton-chaise-longue-sofa-elliot-light-grey-oak-f-15-cm-204510228316,14999 NOK,72cm,319cm,94cm,66cm,299cm,45cm,"Oak, F, 15 cm",204510228316,n,15,,319
150,sofacompany,Conrad,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/4/240509099316_conrad_chaiselong_sofa_left_1024x680white__v1.jpg,,https://no.sofacompany.com/conrad-chaise-longue-sofa-fabio-grey-green-oak-f-15-cm-240509099316,11999 NOK,78cm,223cm,92cm,59cm,196cm,45cm,"Oak, F, 15 cm",240509099316,n,15,,223
151,sofacompany,Conrad,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/4/240509166315_conrad_chaiselong_sofa_left_1760x880grey_v1.jpg,,https://no.sofacompany.com/conrad-chaise-longue-sofa-velour-lux-navy-walnut-natural-f-15-cm-240509166315,11999 NOK,78cm,223cm,92cm,59cm,196cm,45cm,"Walnut Natural, F, 15 cm",240509166315,n,15,,223
152,sofacompany,Conrad,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/4/240509177317_conrad_chaiselong_sofa_left_1760x880grey_v1.jpg,,https://no.sofacompany.com/conrad-chaise-longue-sofa-olena-light-grey-oak-soap-f-15-cm-240509177317,11999 NOK,78cm,223cm,92cm,59cm,196cm,45cm,"Oak Soap, F, 15 cm",240509177317,n,15,,223
153,sofacompany,Conrad,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/4/240509193316_conrad_chaiselong_sofa_left_1760x880grey_v1.jpg,,https://no.sofacompany.com/conrad-chaise-longue-sofa-vega-dusty-blue-oak-f-15-cm-240509193316,11999 NOK,78cm,223cm,92cm,59cm,196cm,45cm,"Oak, F, 15 cm",240509193316,n,15,,223
154,sofacompany,Conrad,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/4/240509227316_conrad_chaiselong_sofa_left_1760x880grey_v1.jpg,,https://no.sofacompany.com/conrad-chaise-longue-sofa-elliot-stone-oak-f-15-cm-240509227316,11999 NOK,78cm,223cm,92cm,59cm,196cm,45cm,"Oak, F, 15 cm",240509227316,n,15,,223
155,sofacompany,Conrad,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/4/240510099316_conrad_chaiselong_sofa_right_1760x880grey_v1.jpg,,https://no.sofacompany.com/conrad-chaise-longue-sofa-fabio-grey-green-oak-f-15-cm-240510099316,11999 NOK,78cm,223cm,92cm,59cm,196cm,45cm,"Oak, F, 15 cm",240510099316,n,15,,223
156,sofacompany,Conrad,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/4/240510166315_conrad_chaiselong_sofa_right_1760x880grey_v1.jpg,,https://no.sofacompany.com/conrad-chaise-longue-sofa-velour-lux-navy-walnut-natural-f-15-cm-240510166315,11999 NOK,78cm,223cm,92cm,59cm,196cm,45cm,"Walnut Natural, F, 15 cm",240510166315,n,15,,223
157,sofacompany,Conrad,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/4/240510177317_conrad_chaiselong_sofa_right_1760x880grey_v1.jpg,,https://no.sofacompany.com/conrad-chaise-longue-sofa-olena-light-grey-oak-soap-f-15-cm-240510177317,11999 NOK,78cm,223cm,92cm,59cm,196cm,45cm,"Oak Soap, F, 15 cm",240510177317,n,15,,223
158,sofacompany,Conrad,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/4/240150193316_conrad_chaiselong_sofa_right_1760x880grey_v1.jpg,,https://no.sofacompany.com/conrad-chaise-longue-sofa-vega-dusty-blue-oak-f-15-cm-240510193316,11999 NOK,78cm,223cm,92cm,59cm,196cm,45cm,"Oak, F, 15 cm",240510193316,n,15,,223
159,sofacompany,Conrad,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/4/240510227316_conrad_chaiselong_sofa_right_1760x880grey_v1.jpg,,https://no.sofacompany.com/conrad-chaise-longue-sofa-elliot-stone-oak-f-15-cm-240510227316,11999 NOK,78cm,223cm,92cm,59cm,196cm,45cm,"Oak, F, 15 cm",240510227316,n,15,,223
160,sofacompany,Douglas,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/1/9/190803204216_douglas_3seater_1760x880grey_v1.jpg,,https://no.sofacompany.com/douglas-3-seater-sofa-sorrento-steel-blue-oak-soap-e-10-cm-190803204216,8999 NOK,83cm,218cm,97cm,60cm,185cm,43cm,"Oak Soap, E, 10 cm",190803204216,n,10,,218
161,sofacompany,Douglas,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/1/9/190803202215_douglas_3seater_1760x880grey_v1.jpg,,https://no.sofacompany.com/douglas-3-seater-sofa-agnes-brown-oak-e-10-cm-190803202215,8999 NOK,83cm,218cm,97cm,60cm,185cm,43cm,"Oak, E, 10 cm",190803202215,n,10,,218
162,sofacompany,Herman,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/4/240003124123_herman_3seater_1760x880grey_v1_1.jpg,,https://no.sofacompany.com/herman-3-seater-sofa-sunday-curry-oak-soap-a-20-cm-240003124123,6999 NOK,80cm,181cm,77cm,51cm,153cm,46cm,"Oak Soap, A, 20 cm",240003124123,n,20,,181
163,sofacompany,Conrad,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/4/240503099316_conrad_chaiselong_sofa_1760x880grey_v1.jpg,,https://no.sofacompany.com/conrad-3-seater-sofa-fabio-grey-green-oak-f-15-cm-240503099316,9999 NOK,78cm,220cm,92cm,59cm,196cm,45cm,"Oak, F, 15 cm",240503099316,n,15,,220
164,sofacompany,Conrad,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/4/240503166315_conrad_chaiselong_sofa_1760x880grey_v1.jpg,,https://no.sofacompany.com/conrad-3-seater-sofa-velour-lux-navy-walnut-natural-f-15-cm-240503166315,9999 NOK,78cm,220cm,92cm,59cm,196cm,45cm,"Walnut Natural, F, 15 cm",240503166315,n,15,,220
165,sofacompany,Conrad,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/4/240503227316_conrad_3-seater_sofa_1760x880grey_v1.jpg,,https://no.sofacompany.com/conrad-3-seater-sofa-elliot-stone-oak-f-15-cm-240503227316,9999 NOK,78cm,220cm,92cm,59cm,196cm,45cm,"Oak, F, 15 cm",240503227316,n,15,,220
166,sofacompany,Herman,https://no.sofacompany.com/media/catalog/product/cache/45033f42b5acfa54f2575f22eea402cc/2/4/240003228123_herman_3seater_1760x880grey_v1.jpg,,https://no.sofacompany.com/herman-3-seater-sofa-elliot-light-grey-oak-soap-a-20-cm-240003228123,6999 NOK,80cm,181cm,77cm,51cm,153cm,46cm,"Oak Soap, A, 20 cm",240003228123,n,20,,181
